Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 20250211
  cutoff: 10

      |#Vis|  BEIDOU-2 I   BEIDOU-2 G   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 I   BEIDOU-2 G   BEIDOU-2 M   BEIDOU-2 M   BEIDOU-2 M   BEIDOU-2 G   BEIDOU-3S  
              GSO-1 (C06   4 (C04)      GSO-2 (C07   GSO-3 (C08   GSO-4 (C09   GSO-5 (C10   5 (C05)      3 (C11)      4 (C12)      6 (C14)      6 (C02)      IGSO-1S (C 

12:40 | 13 |  ---- -----   ---- -----   69.0 148.2   ---- -----   ---- -----   17.7 131.6   ---- -----   ---- -----   ---- -----   27.4  50.4   ---- -----   ---- ----- 
12:45 | 13 |  ---- -----   ---- -----   66.8 148.4   ---- -----   ---- -----   15.9 132.5   ---- -----   ---- -----   ---- -----   25.7  50.0   ---- -----   ---- ----- 
12:50 | 13 |  ---- -----   ---- -----   64.6 148.7   ---- -----   ---- -----   14.1 133.4   ---- -----   ---- -----   ---- -----   23.9  49.6   ---- -----   ---- ----- 
12:55 | 13 |  ---- -----   ---- -----   62.3 149.1   ---- -----   ---- -----   12.3 134.2   ---- -----   ---- -----   ---- -----   22.2  49.3   ---- -----   ---- ----- 
13:00 | 13 |  ---- -----   ---- -----   60.1 149.5   ---- -----   ---- -----   10.5 135.0   ---- -----   ---- -----   ---- -----   20.4  49.1   ---- -----   ---- ----- 
13:05 | 12 |  ---- -----   ---- -----   57.9 150.0   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   18.6  49.0   ---- -----   ---- ----- 
13:10 | 13 |  ---- -----   ---- -----   55.7 150.5   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   16.8  49.0   ---- -----   ---- ----- 
13:15 | 13 |  ---- -----   ---- -----   53.5 151.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   15.1  49.0   ---- -----   ---- ----- 



      |#Vis|  BEIDOU-3 M   BEIDOU-3 I   BEIDOU-2 G   BEIDOU-3 I   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 I   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 M   BEIDOU-3 G 
              18 (C37)     GSO-1 (C38   8 (C01)      GSO-2 (C39   24 (C46)     23 (C45)     GSO-3 (C40   22 (C44)     21 (C43)     19 (C41)     20 (C42)     2 (C60)    

10:00 | 15 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   29.5  56.1   13.0 167.3   19.4 227.4   ---- -----   ---- ----- 
10:05 | 15 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   28.8  54.2   14.9 166.8   17.6 226.3   ---- -----   ---- ----- 
10:10 | 16 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   28.0  52.3   16.9 166.3   15.7 225.3   ---- -----   ---- ----- 
10:15 | 16 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   27.0  50.5   18.9 165.8   13.9 224.2   ---- -----   ---- ----- 
10:20 | 16 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   26.0  48.8   20.9 165.3   12.1 223.2   ---- -----   ---- ----- 
10:25 | 15 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   24.9  47.2   22.9 164.8   10.3 222.3   ---- -----   ---- ----- 
10:30 | 14 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   23.8  45.7   24.9 164.3   ---- -----   ---- -----   ---- ----- 
